Depth (A), Ag L
0, 1.42368
10.5809, 1.46908
21.1618, 1.5098
31.7428, 1.49599
42.3237, 1.50607
52.9046, 1.52284
63.4855, 1.49532
74.0664, 1.47999
84.6473, 1.45665
95.2283, 1.42305
105.809, 1.4022
116.39, 1.36632
126.971, 1.34352
137.552, 1.29985
148.133, 1.2654
158.714, 1.23299
169.295, 1.20209
179.876, 1.16995
190.457, 1.11547
201.037, 1.08262
211.618, 1.01416
222.199, 0.943566
232.78, 0.897876
243.361, 0.843273
253.942, 0.813921
264.523, 0.779257
275.104, 0.73701
285.685, 0.680358
296.266, 0.621834
306.847, 0.570861
317.428, 0.52813
328.008, 0.495836
338.589, 0.456353
349.17, 0.427267
359.751, 0.384987
370.332, 0.363509
380.913, 0.322281
391.494, 0.301229
402.075, 0.274011
412.656, 0.247019
423.237, 0.222827
433.818, 0.204866
444.399, 0.179107
454.979, 0.16149
465.56, 0.14202
476.141, 0.125799
486.722, 0.115206
497.303, 0.0998494
507.884, 0.0836317
518.465, 0.0745065
529.046, 0.0640177
539.627, 0.0532308
550.208, 0.0460511
560.789, 0.0399221
571.37, 0.033725
581.95, 0.0271856
592.531, 0.0217369
603.112, 0.0182678
613.693, 0.013993
624.274, 0.0107396
634.855, 0.00816635
645.436, 0.00638806
656.017, 0.00503072
666.598, 0.00338347
677.179, 0.00234705
687.76, 0.00162441
698.341, 0.0010359
708.921, 0.000599092
719.502, 0.000309715
730.083, 0.000191192
740.664, 9.73043e-005
751.245, 5.13415e-005
761.826, 3.08872e-005
772.407, 7.78134e-006
782.988, 4.57206e-007
793.569, 0
804.15, 0
814.731, 0
825.312, 0
835.892, 0
846.473, 0
857.054, 0
867.635, 0
878.216, 0
888.797, 0
899.378, 0
909.959, 0
920.54, 0
931.121, 0
941.702, 0
952.283, 0
962.863, 0
973.444, 0
984.025, 0
994.606, 0
1005.19, 0
1015.77, 0
1026.35, 0
1036.93, 0
1047.51, 0
1058.09, 0
1068.67, 0
1079.25, 0
1089.83, 0
1100.42, 0
1111, 0
1121.58, 0
1132.16, 0
1142.74, 0
1153.32, 0
1163.9, 0
1174.48, 0
1185.06, 0
1195.64, 0
1206.22, 0
1216.81, 0
1227.39, 0
1237.97, 0
1248.55, 0
1259.13, 0
1269.71, 0
1280.29, 0
1290.87, 0
1301.45, 0
1312.03, 0
1322.61, 0
1333.2, 0
1343.78, 0
